RUN	Servicios.ObtenerCiudades	obtenerciudades	1569514514643	1	3.0.2
USER	SmokeTest	80	END	1569514527601	1569514528305
USER	SmokeTest	85	START	1569514528305	1569514528305
REQUEST	82		SmokeTest	1569514527718	1569514528409	OK	 
USER	SmokeTest	82	END	1569514527718	1569514528415
USER	SmokeTest	86	START	1569514528415	1569514528415
REQUEST	81		SmokeTest	1569514527657	1569514528439	OK	 
USER	SmokeTest	81	END	1569514527656	1569514528443
USER	SmokeTest	87	START	1569514528443	1569514528443
REQUEST	83		SmokeTest	1569514528032	1569514528723	OK	 
USER	SmokeTest	83	END	1569514528031	1569514528729
USER	SmokeTest	88	START	1569514528729	1569514528729
REQUEST	77		SmokeTest	1569514527123	1569514528817	OK	 
USER	SmokeTest	77	END	1569514527123	1569514528823
USER	SmokeTest	89	START	1569514528824	1569514528824
REQUEST	84		SmokeTest	1569514528235	1569514529049	OK	 
USER	SmokeTest	84	END	1569514528234	1569514529056
USER	SmokeTest	90	START	1569514529057	1569514529057
REQUEST	85		SmokeTest	1569514528307	1569514529071	OK	 
USER	SmokeTest	85	END	1569514528305	1569514529076
USER	SmokeTest	91	START	1569514529076	1569514529076
REQUEST	86		SmokeTest	1569514528416	1569514529097	OK	 
USER	SmokeTest	86	END	1569514528415	1569514529102
USER	SmokeTest	92	START	1569514529102	1569514529102
REQUEST	87		SmokeTest	1569514528444	1569514529205	OK	 
USER	SmokeTest	87	END	1569514528443	1569514529209
USER	SmokeTest	93	START	1569514529209	1569514529209
REQUEST	88		SmokeTest	1569514528730	1569514529406	OK	 
USER	SmokeTest	88	END	1569514528729	1569514529416
USER	SmokeTest	94	START	1569514529416	1569514529416
REQUEST	89		SmokeTest	1569514528828	1569514529587	OK	 
USER	SmokeTest	89	END	1569514528824	1569514529591
USER	SmokeTest	95	START	1569514529591	1569514529591
REQUEST	90		SmokeTest	1569514529058	1569514529729	OK	 
USER	SmokeTest	90	END	1569514529057	1569514529733
USER	SmokeTest	96	START	1569514529734	1569514529734
REQUEST	92		SmokeTest	1569514529102	1569514529863	OK	 
USER	SmokeTest	92	END	1569514529102	1569514529871
REQUEST	91		SmokeTest	1569514529077	1569514529871	OK	 
USER	SmokeTest	97	START	1569514529876	1569514529876
USER	SmokeTest	91	END	1569514529076	1569514529878
USER	SmokeTest	98	START	1569514529878	1569514529878
REQUEST	93		SmokeTest	1569514529210	1569514529977	OK	 
USER	SmokeTest	93	END	1569514529209	1569514529981
USER	SmokeTest	99	START	1569514529981	1569514529981
REQUEST	94		SmokeTest	1569514529417	1569514530184	OK	 
USER	SmokeTest	94	END	1569514529416	1569514530190
USER	SmokeTest	100	START	1569514530190	1569514530190
REQUEST	95		SmokeTest	1569514529592	1569514530431	OK	 
USER	SmokeTest	95	END	1569514529591	1569514530435
USER	SmokeTest	101	START	1569514530435	1569514530435
REQUEST	96		SmokeTest	1569514529734	1569514530505	OK	 
USER	SmokeTest	96	END	1569514529734	1569514530510
USER	SmokeTest	102	START	1569514530511	1569514530511
REQUEST	99		SmokeTest	1569514529982	1569514530652	OK	 
USER	SmokeTest	99	END	1569514529981	1569514530658
USER	SmokeTest	103	START	1569514530658	1569514530658
REQUEST	98		SmokeTest	1569514529879	1569514530660	OK	 
USER	SmokeTest	98	END	1569514529878	1569514530664
USER	SmokeTest	104	START	1569514530664	1569514530664
REQUEST	97		SmokeTest	1569514529877	1569514530676	OK	 
USER	SmokeTest	97	END	1569514529876	1569514530680
USER	SmokeTest	105	START	1569514530681	1569514530681
REQUEST	100		SmokeTest	1569514530191	1569514530958	OK	 
USER	SmokeTest	100	END	1569514530190	1569514530963
USER	SmokeTest	106	START	1569514530963	1569514530963
REQUEST	101		SmokeTest	1569514530436	1569514531200	OK	 
USER	SmokeTest	101	END	1569514530435	1569514531205
USER	SmokeTest	107	START	1569514531205	1569514531205
REQUEST	103		SmokeTest	1569514530659	1569514531351	OK	 
USER	SmokeTest	103	END	1569514530658	1569514531381
USER	SmokeTest	108	START	1569514531386	1569514531386
REQUEST	104		SmokeTest	1569514530665	1569514531435	OK	 
USER	SmokeTest	104	END	1569514530664	1569514531440
USER	SmokeTest	109	START	1569514531441	1569514531441
REQUEST	102		SmokeTest	1569514530511	1569514531454	OK	 
USER	SmokeTest	102	END	1569514530511	1569514531464
USER	SmokeTest	110	START	1569514531465	1569514531465
REQUEST	105		SmokeTest	1569514530681	1569514531615	OK	 
USER	SmokeTest	105	END	1569514530681	1569514531633
USER	SmokeTest	111	START	1569514531634	1569514531634
REQUEST	106		SmokeTest	1569514530964	1569514531735	OK	 
USER	SmokeTest	106	END	1569514530963	1569514531740
USER	SmokeTest	112	START	1569514531741	1569514531741
REQUEST	107		SmokeTest	1569514531206	1569514531977	OK	 
