RUN	Servicios.ObtenerCiudades	obtenerciudades	1569618175525	 	3.0.2
USER	SmokeTest	63	START	1569618189633	1569618189633
REQUEST	61		SmokeTest	1569618188111	1569618189724	OK	 
USER	SmokeTest	61	END	1569618188110	1569618189746
USER	SmokeTest	64	START	1569618189747	1569618189747
REQUEST	58		SmokeTest	1569618187356	1569618190049	OK	 
USER	SmokeTest	58	END	1569618187353	1569618190054
USER	SmokeTest	65	START	1569618190054	1569618190054
REQUEST	59		SmokeTest	1569618187800	1569618190156	OK	 
USER	SmokeTest	59	END	1569618187798	1569618190162
USER	SmokeTest	66	START	1569618190162	1569618190162
REQUEST	60		SmokeTest	1569618188023	1569618190470	OK	 
USER	SmokeTest	60	END	1569618188022	1569618190481
USER	SmokeTest	67	START	1569618190483	1569618190483
REQUEST	62		SmokeTest	1569618188125	1569618190483	OK	 
USER	SmokeTest	62	END	1569618188124	1569618190489
USER	SmokeTest	68	START	1569618190492	1569618190492
REQUEST	63		SmokeTest	1569618189634	1569618190559	OK	 
USER	SmokeTest	63	END	1569618189633	1569618190565
USER	SmokeTest	69	START	1569618190566	1569618190566
REQUEST	64		SmokeTest	1569618189750	1569618190566	OK	 
USER	SmokeTest	64	END	1569618189747	1569618190572
USER	SmokeTest	70	START	1569618190572	1569618190572
REQUEST	65		SmokeTest	1569618190055	1569618190904	OK	 
USER	SmokeTest	65	END	1569618190054	1569618190933
REQUEST	66		SmokeTest	1569618190163	1569618190909	OK	 
USER	SmokeTest	71	START	1569618190934	1569618190934
USER	SmokeTest	66	END	1569618190162	1569618190940
USER	SmokeTest	72	START	1569618190940	1569618190940
REQUEST	67		SmokeTest	1569618190485	1569618191239	OK	 
USER	SmokeTest	67	END	1569618190483	1569618191246
USER	SmokeTest	73	START	1569618191249	1569618191249
REQUEST	70		SmokeTest	1569618190574	1569618191351	OK	 
USER	SmokeTest	70	END	1569618190572	1569618191358
USER	SmokeTest	74	START	1569618191358	1569618191358
REQUEST	68		SmokeTest	1569618190492	1569618191499	OK	 
USER	SmokeTest	68	END	1569618190492	1569618191518
USER	SmokeTest	75	START	1569618191518	1569618191518
REQUEST	73		SmokeTest	1569618191250	1569618192124	OK	 
USER	SmokeTest	73	END	1569618191249	1569618192138
REQUEST	72		SmokeTest	1569618190941	1569618192123	OK	 
USER	SmokeTest	76	START	1569618192138	1569618192138
USER	SmokeTest	72	END	1569618190940	1569618192141
USER	SmokeTest	77	START	1569618192142	1569618192142
REQUEST	74		SmokeTest	1569618191358	1569618192236	OK	 
USER	SmokeTest	74	END	1569618191358	1569618192245
REQUEST	75		SmokeTest	1569618191521	1569618192238	OK	 
USER	SmokeTest	78	START	1569618192246	1569618192246
USER	SmokeTest	75	END	1569618191518	1569618192249
USER	SmokeTest	79	START	1569618192249	1569618192249
REQUEST	69		SmokeTest	1569618190568	1569618192492	OK	 
USER	SmokeTest	69	END	1569618190566	1569618192496
USER	SmokeTest	80	START	1569618192496	1569618192496
REQUEST	76		SmokeTest	1569618192142	1569618193035	OK	 
USER	SmokeTest	76	END	1569618192138	1569618193042
USER	SmokeTest	81	START	1569618193043	1569618193043
REQUEST	77		SmokeTest	1569618192143	1569618193043	OK	 
USER	SmokeTest	77	END	1569618192142	1569618193050
USER	SmokeTest	82	START	1569618193051	1569618193051
REQUEST	79		SmokeTest	1569618192250	1569618193145	OK	 
USER	SmokeTest	79	END	1569618192249	1569618193153
USER	SmokeTest	83	START	1569618193153	1569618193153
REQUEST	71		SmokeTest	1569618190939	1569618193207	OK	 
USER	SmokeTest	71	END	1569618190934	1569618193212
USER	SmokeTest	84	START	1569618193213	1569618193213
REQUEST	78		SmokeTest	1569618192249	1569618193395	OK	 
USER	SmokeTest	78	END	1569618192246	1569618193402
USER	SmokeTest	85	START	1569618193402	1569618193402
REQUEST	81		SmokeTest	1569618193044	1569618193837	OK	 
USER	SmokeTest	81	END	1569618193043	1569618193847
USER	SmokeTest	86	START	1569618193848	1569618193848
REQUEST	82		SmokeTest	1569618193051	1569618194017	OK	 
USER	SmokeTest	82	END	1569618193051	1569618194021
USER	SmokeTest	87	START	1569618194022	1569618194022
