RUN	Servicios.ObtenerCiudades	obtenerciudades	1569622014437	 	3.0.2
USER	SmokeTest	45	START	1569622025109	1569622025109
USER	SmokeTest	40	END	1569622023986	1569622025108
USER	SmokeTest	46	START	1569622025111	1569622025111
REQUEST	41		SmokeTest	1569622024095	1569622025204	OK	 
USER	SmokeTest	41	END	1569622024095	1569622025207
USER	SmokeTest	47	START	1569622025207	1569622025207
REQUEST	43		SmokeTest	1569622024504	1569622025289	OK	 
USER	SmokeTest	43	END	1569622024503	1569622025290
USER	SmokeTest	48	START	1569622025290	1569622025290
REQUEST	44		SmokeTest	1569622024625	1569622025421	OK	 
USER	SmokeTest	44	END	1569622024623	1569622025422
USER	SmokeTest	49	START	1569622025422	1569622025422
REQUEST	46		SmokeTest	1569622025112	1569622025836	OK	 
USER	SmokeTest	46	END	1569622025111	1569622025838
USER	SmokeTest	50	START	1569622025838	1569622025838
REQUEST	45		SmokeTest	1569622025110	1569622025900	OK	 
USER	SmokeTest	45	END	1569622025109	1569622025901
USER	SmokeTest	51	START	1569622025901	1569622025901
REQUEST	47		SmokeTest	1569622025210	1569622026051	OK	 
USER	SmokeTest	47	END	1569622025207	1569622026055
USER	SmokeTest	52	START	1569622026056	1569622026056
REQUEST	48		SmokeTest	1569622025291	1569622026138	OK	 
USER	SmokeTest	48	END	1569622025290	1569622026139
USER	SmokeTest	53	START	1569622026140	1569622026140
REQUEST	49		SmokeTest	1569622025423	1569622026154	OK	 
USER	SmokeTest	49	END	1569622025422	1569622026155
USER	SmokeTest	54	START	1569622026155	1569622026155
REQUEST	51		SmokeTest	1569622025902	1569622026938	OK	 
USER	SmokeTest	51	END	1569622025901	1569622026940
REQUEST	52		SmokeTest	1569622026057	1569622027071	OK	 
USER	SmokeTest	52	END	1569622026056	1569622027072
REQUEST	54		SmokeTest	1569622026156	1569622027122	OK	 
USER	SmokeTest	54	END	1569622026155	1569622027124
REQUEST	53		SmokeTest	1569622026141	1569622027126	OK	 
USER	SmokeTest	53	END	1569622026140	1569622027127
REQUEST	50		SmokeTest	1569622025839	1569622027829	OK	 
USER	SmokeTest	50	END	1569622025838	1569622027831
