RUN	Servicios.ObtenerCiudades	obtenerciudades	1569512381723	NA	3.0.2
USER	SmokeTest	62	END	1569512392086	1569512392850
USER	SmokeTest	68	START	1569512392850	1569512392850
REQUEST	63		SmokeTest	1569512392486	1569512393267	OK	 
USER	SmokeTest	63	END	1569512392485	1569512393271
USER	SmokeTest	69	START	1569512393271	1569512393271
REQUEST	64		SmokeTest	1569512392563	1569512393295	OK	 
USER	SmokeTest	64	END	1569512392562	1569512393297
USER	SmokeTest	70	START	1569512393297	1569512393297
REQUEST	65		SmokeTest	1569512392589	1569512393369	OK	 
USER	SmokeTest	65	END	1569512392588	1569512393371
USER	SmokeTest	71	START	1569512393371	1569512393371
REQUEST	66		SmokeTest	1569512392789	1569512393471	OK	 
USER	SmokeTest	66	END	1569512392788	1569512393473
USER	SmokeTest	72	START	1569512393473	1569512393473
REQUEST	67		SmokeTest	1569512392825	1569512393497	OK	 
USER	SmokeTest	67	END	1569512392825	1569512393498
USER	SmokeTest	73	START	1569512393498	1569512393498
REQUEST	68		SmokeTest	1569512392851	1569512393653	OK	 
USER	SmokeTest	68	END	1569512392850	1569512393654
USER	SmokeTest	74	START	1569512393654	1569512393654
REQUEST	69		SmokeTest	1569512393273	1569512394056	OK	 
USER	SmokeTest	69	END	1569512393271	1569512394061
USER	SmokeTest	75	START	1569512394064	1569512394064
REQUEST	70		SmokeTest	1569512393297	1569512394069	OK	 
USER	SmokeTest	70	END	1569512393297	1569512394071
USER	SmokeTest	76	START	1569512394071	1569512394071
REQUEST	73		SmokeTest	1569512393499	1569512394175	OK	 
USER	SmokeTest	73	END	1569512393498	1569512394176
USER	SmokeTest	77	START	1569512394176	1569512394176
REQUEST	72		SmokeTest	1569512393474	1569512394236	OK	 
USER	SmokeTest	72	END	1569512393473	1569512394237
USER	SmokeTest	78	START	1569512394238	1569512394238
REQUEST	71		SmokeTest	1569512393371	1569512394315	OK	 
USER	SmokeTest	71	END	1569512393371	1569512394316
USER	SmokeTest	79	START	1569512394316	1569512394316
REQUEST	74		SmokeTest	1569512393655	1569512394437	OK	 
USER	SmokeTest	74	END	1569512393654	1569512394438
USER	SmokeTest	80	START	1569512394438	1569512394438
REQUEST	75		SmokeTest	1569512394066	1569512394826	OK	 
USER	SmokeTest	75	END	1569512394064	1569512394827
USER	SmokeTest	81	START	1569512394828	1569512394828
REQUEST	78		SmokeTest	1569512394238	1569512394931	OK	 
USER	SmokeTest	78	END	1569512394238	1569512394932
USER	SmokeTest	82	START	1569512394932	1569512394932
REQUEST	77		SmokeTest	1569512394177	1569512394964	OK	 
USER	SmokeTest	77	END	1569512394176	1569512394965
USER	SmokeTest	83	START	1569512394965	1569512394965
REQUEST	76		SmokeTest	1569512394072	1569512394995	OK	 
USER	SmokeTest	76	END	1569512394071	1569512394996
USER	SmokeTest	84	START	1569512394996	1569512394996
REQUEST	79		SmokeTest	1569512394317	1569512394999	OK	 
USER	SmokeTest	79	END	1569512394316	1569512395000
USER	SmokeTest	85	START	1569512395000	1569512395000
REQUEST	80		SmokeTest	1569512394439	1569512395113	OK	 
USER	SmokeTest	80	END	1569512394438	1569512395114
USER	SmokeTest	86	START	1569512395114	1569512395114
REQUEST	81		SmokeTest	1569512394828	1569512395594	OK	 
USER	SmokeTest	81	END	1569512394828	1569512395595
USER	SmokeTest	87	START	1569512395595	1569512395595
REQUEST	82		SmokeTest	1569512394933	1569512395640	OK	 
USER	SmokeTest	82	END	1569512394932	1569512395641
USER	SmokeTest	88	START	1569512395641	1569512395641
REQUEST	83		SmokeTest	1569512394966	1569512395745	OK	 
USER	SmokeTest	83	END	1569512394965	1569512395746
USER	SmokeTest	89	START	1569512395747	1569512395747
REQUEST	84		SmokeTest	1569512394997	1569512395785	OK	 
USER	SmokeTest	84	END	1569512394996	1569512395786
USER	SmokeTest	90	START	1569512395787	1569512395787
REQUEST	85		SmokeTest	1569512395001	1569512395921	OK	 
USER	SmokeTest	85	END	1569512395000	1569512395922
USER	SmokeTest	91	START	1569512395922	1569512395922
REQUEST	86		SmokeTest	1569512395115	1569512396036	OK	 
USER	SmokeTest	86	END	1569512395114	1569512396037
USER	SmokeTest	92	START	1569512396037	1569512396037
REQUEST	87		SmokeTest	1569512395597	1569512396275	OK	 
USER	SmokeTest	87	END	1569512395595	1569512396275
USER	SmokeTest	93	START	1569512396275	1569512396275
REQUEST	88		SmokeTest	1569512395642	1569512396414	OK	 
USER	SmokeTest	88	END	1569512395641	1569512396416
USER	SmokeTest	94	START	1569512396416	1569512396416
REQUEST	89		SmokeTest	1569512395747	1569512396599	OK	 
USER	SmokeTest	89	END	1569512395747	1569512396601
USER	SmokeTest	95	START	1569512396601	1569512396601
REQUEST	91		SmokeTest	1569512395923	1569512396624	OK	 
USER	SmokeTest	91	END	1569512395922	1569512396626
USER	SmokeTest	96	START	1569512396626	1569512396626
REQUEST	92		SmokeTest	1569512396038	1569512396729	OK	 
USER	SmokeTest	92	END	1569512396037	1569512396731
USER	SmokeTest	97	START	1569512396731	1569512396731
REQUEST	90		SmokeTest	1569512395788	1569512396839	OK	 
USER	SmokeTest	90	END	1569512395787	1569512396840
USER	SmokeTest	98	START	1569512396840	1569512396840
REQUEST	93		SmokeTest	1569512396276	1569512397058	OK	 
USER	SmokeTest	93	END	1569512396275	1569512397059
USER	SmokeTest	99	START	1569512397059	1569512397059
REQUEST	94		SmokeTest	1569512396417	1569512397183	OK	 
USER	SmokeTest	94	END	1569512396416	1569512397184
USER	SmokeTest	100	START	1569512397184	1569512397184
REQUEST	96		SmokeTest	1569512396626	1569512397314	OK	 
USER	SmokeTest	96	END	1569512396626	1569512397315
USER	SmokeTest	101	START	1569512397315	1569512397315
REQUEST	97		SmokeTest	1569512396732	1569512397500	OK	 
USER	SmokeTest	97	END	1569512396731	1569512397500
USER	SmokeTest	102	START	1569512397501	1569512397501
REQUEST	98		SmokeTest	1569512396840	1569512397516	OK	 
USER	SmokeTest	98	END	1569512396840	1569512397516
USER	SmokeTest	103	START	1569512397517	1569512397517
REQUEST	95		SmokeTest	1569512396602	1569512397664	OK	 
USER	SmokeTest	95	END	1569512396601	1569512397665
USER	SmokeTest	104	START	1569512397666	1569512397666
REQUEST	99		SmokeTest	1569512397060	1569512397830	OK	 
USER	SmokeTest	99	END	1569512397059	1569512397831
USER	SmokeTest	105	START	1569512397831	1569512397831
REQUEST	101		SmokeTest	1569512397315	1569512398095	OK	 
USER	SmokeTest	101	END	1569512397315	1569512398096
USER	SmokeTest	106	START	1569512398096	1569512398096
REQUEST	100		SmokeTest	1569512397185	1569512398104	OK	 
USER	SmokeTest	100	END	1569512397184	1569512398105
USER	SmokeTest	107	START	1569512398105	1569512398105
REQUEST	102		SmokeTest	1569512397501	1569512398186	OK	 
USER	SmokeTest	102	END	1569512397501	1569512398187
USER	SmokeTest	108	START	1569512398187	1569512398187
REQUEST	103		SmokeTest	1569512397517	1569512398193	OK	 
USER	SmokeTest	103	END	1569512397517	1569512398194
USER	SmokeTest	109	START	1569512398194	1569512398194
REQUEST	104		SmokeTest	1569512397667	1569512398420	OK	 
USER	SmokeTest	104	END	1569512397666	1569512398421
USER	SmokeTest	110	START	1569512398421	1569512398421
REQUEST	105		SmokeTest	1569512397832	1569512398525	OK	 
USER	SmokeTest	105	END	1569512397831	1569512398527
USER	SmokeTest	111	START	1569512398527	1569512398527
REQUEST	107		SmokeTest	1569512398106	1569512398875	OK	 
USER	SmokeTest	107	END	1569512398105	1569512398877
USER	SmokeTest	112	START	1569512398877	1569512398877
REQUEST	108		SmokeTest	1569512398188	1569512398951	OK	 
USER	SmokeTest	108	END	1569512398187	1569512398952
USER	SmokeTest	113	START	1569512398953	1569512398953
REQUEST	109		SmokeTest	1569512398195	1569512398964	OK	 
USER	SmokeTest	109	END	1569512398194	1569512398965
USER	SmokeTest	114	START	1569512398965	1569512398965
REQUEST	106		SmokeTest	1569512398097	1569512399042	OK	 
USER	SmokeTest	106	END	1569512398096	1569512399043
USER	SmokeTest	115	START	1569512399043	1569512399043
REQUEST	110		SmokeTest	1569512398422	1569512399099	OK	 
USER	SmokeTest	110	END	1569512398421	1569512399099
USER	SmokeTest	116	START	1569512399100	1569512399100
REQUEST	111		SmokeTest	1569512398528	1569512399220	OK	 
USER	SmokeTest	111	END	1569512398527	1569512399221
USER	SmokeTest	117	START	1569512399221	1569512399221
REQUEST	112		SmokeTest	1569512398878	1569512399589	OK	 
USER	SmokeTest	112	END	1569512398877	1569512399590
USER	SmokeTest	118	START	1569512399591	1569512399591
REQUEST	114		SmokeTest	1569512398966	1569512399731	OK	 
